pathway,correlation,pval_corr,pval_mw,mean_high,mean_low,fold_change,qval,significant,abs_corr
Reactome_REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM,0.09978468770591124,2.9849218536808806e-12,3.3530248850849894e-12,0.25669876732949876,0.23201529846036964,1.106387247017443,6.878298184568986e-12,True,0.09978468770591124
Reactome_REACTOME_KETONE_BODY_METABOLISM,0.09776686542635231,8.10783159779325e-12,9.02284671209245e-12,0.15371321671240756,0.1334812449671458,1.1515716440181654,1.8285747858852863e-11,True,0.09776686542635231
Reactome_REACTOME_GLUTAMATE_AND_GLUTAMINE_METABOLISM,0.09655350467343893,1.4644529490403886e-11,1.621026987045631e-11,0.3442297962678718,0.3180237814472279,1.0824026891994944,3.2340002624641914e-11,True,0.09655350467343893
Reactome_REACTOME_PHENYLALANINE_AND_TYROSINE_METABOLISM,0.09611118720739323,1.8134157381555303e-11,2.0034893320305673e-11,0.20053097260147906,0.1801197089449692,1.1133205454087536,3.92289935192829e-11,True,0.09611118720739323
Reactome_REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,0.09549167919874084,2.4423190948316387e-11,2.691260117974296e-11,0.18386114455875102,0.1673422391634497,1.0987133044106494,5.177716481043074e-11,True,0.09549167919874084
Reactome_REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION,0.09275882796842339,8.880907313718919e-11,9.67967404763765e-11,0.11698861625965487,0.10506117422546203,1.113528542985789,1.845835637753344e-10,True,0.09275882796842339
Reactome_REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,0.09049124787797481,2.521231274815142e-10,2.725130694123809e-10,0.18313543950369762,0.17350930740903492,1.0554790531897509,5.13943298327702e-10,True,0.09049124787797481
Reactome_REACTOME_SELENOAMINO_ACID_METABOLISM,0.0903452703827323,2.6940847186507076e-10,2.910460042098076e-10,2.193543860682005,2.1642978050924024,1.013512953495027,5.388169437301415e-10,True,0.0903452703827323
Reactome_REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.08817494290100525,7.132649621537828e-10,7.648846668909111e-10,0.2184863532489729,0.20825410616057494,1.0491334710130917,1.4001127034870552e-09,True,0.08817494290100525
Reactome_REACTOME_SULFUR_AMINO_ACID_METABOLISM,0.0861637855427068,1.7226049439599058e-09,1.83556171193127e-09,0.2728851167715694,0.2554288142907598,1.0683411639727487,3.319929528359091e-09,True,0.0861637855427068
Reactome_REACTOME_COBALAMIN_CBL_METABOLISM,0.08386132770280838,4.614284039641724e-09,4.8838246572513966e-09,0.19653101024568612,0.1720788364809035,1.1420986698006654,8.734180503607548e-09,True,0.08386132770280838
Reactome_REACTOME_SPHINGOLIPID_CATABOLISM,0.08369218490697299,4.955637276170415e-09,5.242634238442666e-09,0.18360320180197207,0.16710193776960988,1.0987496868834228,9.215746513580069e-09,True,0.08369218490697299
Reactome_REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,0.0788712341661574,3.5747638045202496e-08,3.735542146812317e-08,0.22943013921733768,0.20716669149404518,1.1074663478126379,6.533189022054249e-08,True,0.0788712341661574
Reactome_REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,0.072283598192912,4.4382361093081883e-07,4.5758859771961643e-07,0.23897393935661468,0.22034960197371664,1.0845217654857373,7.973780128587593e-07,True,0.072283598192912
